"Block","Year","Perc_C","PCC","BAPERCM","BAM"
1,1964,3,0,0,25.0011870363493
1,1996,2,-1,-0.377315636534988,15.5678482355989
1,2014,1,-2,-0.298054588931782,17.5494685114236
10,1964,4,0,0,32.4958490105694
10,1996,86,82,-0.4042,19.3610268404973
10,2014,85,81,-0.357323750467674,20.8843103674815
11,1964,0,0,0,45.5923633852219
11,1996,20,20,-0.527000861326443,21.5651486113018
11,2014,5.5,5.5,-0.401879883953669,27.2697096787954
12,1964,0,0,0,36.3305555433575
12,1996,3,3,0.140582608225693,41.4379997999311
12,2014,2,2,0.388964856025472,50.4618648496049
13,1964,0,0,0,42.1474106910198
13,1996,2,2,-0.195396333651674,33.9119611690832
13,2014,2,2,0.00381042641737211,42.3080102981407
14,1964,0,0,0,37.4895087082208
14,1996,1,1,0.0702274363976797,40.1223007966077
14,2014,1,1,0.284051226872764,48.1384496516481
15,1964,0,0,0,59.125264614412
15,1996,35,35,-0.302601100880871,41.2338944522182
15,2014,50.5,50.5,-0.260893915001865,43.6998428536369
16,1964,0,0,0,41.0758330718344
16,1996,2,2,-0.546733589072527,18.6182954323264
16,2014,2,2,-0.427952247764806,23.4973379799309
17,1964,0,0,0,53.437018416006
17,1996,36,36,-0.49327601252974,27.0778190502803
17,2014,20.5,20.5,-0.468468933857911,28.4034353701141
18,1964,0,0,0,41.101849385997
18,1996,1,1,0.0290760999378971,42.2969308663766
18,2014,3,3,0.100729850465203,45.2420325284917
19,1964,2,0,0,32.8806941106342
19,1996,12,10,0.0646649946255822,35.0069240185837
19,2014,16.5,14.5,0.273052407234928,41.8588467890981
2,1964,3,0,0,35.3036474447153
2,1996,3,0,0.0644816462736374,37.5800847514146
2,2014,2,-1,0.303419812363054,46.0154735281222
20,1964,0,0,0,30.9564686103104
20,1996,11,11,0.277651274895344,39.5515715862208
20,2014,0.5,0.5,0.479568081878143,45.8022028834779
21,1964,0,0,0,72.8957487880299
21,1996,1,1,0.047897536733512,76.3872755933214
21,2014,2,2,0.145112295179513,83.4738182034901
22,1964,0,0,0,40.3675021032203
22,1996,32,32,-0.428237268349628,23.0806332724394
22,2014,25,25,-0.312212026622467,27.7642824618872
23,1964,2,0,0,34.9904699270606
23,1996,8,6,0.453433966499257,50.8563374957606
23,2014,11,9,0.423804199991358,49.8195780418202
24,1964,0,0,0,51.4671416474348
24,1996,11,11,0.0733278650999542,55.2411172672381
24,2014,5.5,5.5,-0.660281026066,17.4843645517824
27,1964,2,0,0,20.0752679302909
27,1996,7,5,0.207048927794214,24.2318306304392
27,2014,16.5,14.5,0.497124164454586,30.0551687263387
28,1964,0,0,0,61.9674242182065
28,1996,77,77,-0.0144725481032011,61.0705976903771
28,2014,5.5,5.5,0.0399348680743514,64.442085129268
29,1964,2,0,0,25.5980896405313
29,1996,48,46,0.0157344481092276,26.0008614536756
29,2014,2,0,0.0925582063864558,27.9674029045786
3,1964,4,0,0,48.8714007174062
3,1996,3,-1,-0.108156689433507,43.5856318078332
3,2014,2,-2,-0.318521359638544,33.3048157134579
30,1964,0,0,0,49.5748229474991
30,1996,80,80,-0.876016753636391,6.14644748693209
30,2014,101,101,-0.815198419779212,9.16150561986363
31,1964,0,0,0,53.0757352608432
31,1996,83,83,-0.923746404624277,4.04721564084931
31,2014,76,76,-0.696555588346923,16.1055352592811
32,1964,3,0,0,36.4125314766621
32,1996,77,74,-0.479007266207417,18.9706643183346
32,2014,81,78,-0.281653446697361,26.156816483284
33,1964,1,0,0,63.8248908746415
33,1996,52,51,-0.299444867446529,44.7128548868953
33,2014,41,40,-0.248045376939551,47.9934217595154
34,1964,0,0,0,40.5663060133303
34,1996,83,83,-0.862474074611875,5.57891877406109
34,2014,100.5,100.5,-0.787794519577894,8.60839245650893
35,1964,0,0,0,68.5225536394625
35,1996,78,78,-0.37615324550658,42.74757269758
35,2014,70.5,70.5,-0.313047121927291,47.0717654355204
36,1964,0,0,0,39.542834031653
36,1996,63,63,-0.590081930582452,16.2093221855537
36,2014,50.5,50.5,-0.470727749641554,20.9289247534835
37,1964,0,0,0,28.1152907542202
37,1996,1,1,0.167888120678818,32.8355140812847
37,2014,15.5,15.5,0.206600570249109,33.9239258567615
38,1964,0,0,0,54.5989168239821
38,1996,1,1,0.100024094652426,60.060124048304
38,2014,11,11,-0.0168334453762934,53.6798289400208
39,1964,1,0,0,41.9068825034793
39,1996,3,2,-0.138158178325446,36.1171039575001
39,2014,26,25,-0.344557378866798,27.4675569116016
4,1964,2,0,0,73.1873278561912
4,1996,11,9,-0.213459247733004,57.5648159084199
4,2014,30,28,-0.528780656075698,34.4872846159672
40,1964,4,0,0,35.3173919125748
40,1996,4,0,0.0206627008394952,36.0471446160955
40,2014,1,-3,0.224889572456701,43.2599050800794
41,1964,6,0,0,32.8881750281405
41,1996,24,18,-0.339135190190217,21.7346375349629
41,2014,15.5,9.5,-0.239681042190724,25.0055029616449
42,1964,3,0,0,56.2050560681299
42,1996,4,1,-0.269760698689956,41.043140873283
42,2014,1.5,-1.5,0.0240678039566942,57.5577883389526
43,1964,0,0,0,73.1775103791488
43,1996,20,20,-0.181556521505809,59.8916561422553
43,2014,10.5,10.5,-0.0769928075441999,67.5433684059633
46,1964,0,0,0,44.5811632498477
46,1996,2,2,-0.370022902444396,28.0851118297916
46,2014,1.5,1.5,-0.382121511263183,27.5457417749452
47,1964,0,0,0,70.8818111824921
47,1996,2,2,-0.0613560015966845,66.5327866624032
47,2014,2.5,2.5,-0.606759470560789,27.8736009570134
48,1964,0,0,0,74.0237769002095
48,1996,0,0,-0.372020689655172,46.4854003669129
48,2014,0,0,-0.523680246763549,35.2589871467379
49,1964,3,0,0,63.7056085285755
49,1996,0,-3,0.0322511943288642,65.7601904890692
49,2014,0,-3,0.1060356945701,70.4606769769139
5,1964,1,0,0,27.0550032336336
5,1996,71,70,-0.729065244212207,7.33014069394247
5,2014,76.5,75.5,-0.681866631134225,8.6070993233903
50,1964,2,0,0,42.2976180897696
50,1996,2,0,0.231181877263021,52.0760608435168
50,2014,1,-1,0.396827992042972,59.0824969445333
6,1964,2,0,0,37.1650410919673
6,1996,23,21,0.175468617920541,43.6863394873349
6,2014,32,30,0.282724953775935,47.6725256167744
7,1964,6,0,0,45.9850624669206
8,1964,0,0,0,61.5909239736279
8,1996,51,51,-0.422038064269319,35.5972096432392
8,2014,86,86,-0.695417883766564,18.7594939646603
9,1964,0,0,0,36.3933873964293
9,1996,26,26,-0.225926085783653,28.1711718335459
9,2014,10.5,10.5,-0.0129097030240411,35.9235595731025
