"","lag","semi","No_pairs","Year"
"1",1,344.122186659625,25,1959
"2",2,250.958762479076,30,1959
"3",3,238.5595521991,37,1959
"4",4,402.575679292372,18,1959
"5",5,285.057834566629,43,1959
"6",6,161.215191495427,17,1959
"7",7,297.704117745141,27,1959
"8",8,197.547152449417,34,1959
"9",9,301.119914043134,20,1959
"10",10,311.006683820542,32,1959
"11",11,295.02148127734,23,1959
"12",12,232.819053864669,29,1959
"13",13,382.780231678826,20,1959
"14",14,202.85097421409,31,1959
"15",15,239.148612164214,18,1959
"16",16,234.107712531167,37,1959
"17",17,209.803576708862,21,1959
"18",18,152.781147194038,28,1959
"19",19,350.73780886671,29,1959
"20",20,223.046727797389,21,1959
"21",21,220.430720562541,35,1959
"22",22,339.952319115912,22,1959
"23",23,264.56833067414,29,1959
"24",24,139.048193265637,25,1959
"25",25,244.288809295241,31,1959
"26",26,339.102228450582,18,1959
"27",27,256.772696589778,34,1959
"28",28,360.71720368365,25,1959
"29",29,269.074458264397,19,1959
"30",30,386.646611178284,41,1959
"31",31,143.532355853,14,1959
"32",32,204.982870878323,30,1959
"33",33,317.046859861826,26,1959
"34",34,323.024830366885,25,1959
"35",35,175.389330725152,21,1959
"36",36,312.223903831261,27,1959
"37",37,292.114570907014,19,1959
"38",38,229.526499904956,26,1959
"39",39,237.851595226466,28,1959
"40",40,197.308917621723,20,1959
"41",41,288.587910610736,29,1959
"42",42,215.132970816432,16,1959
"43",43,427.086802766351,32,1959
"44",44,216.867550142335,17,1959
"45",45,356.92963288443,24,1959
"46",46,197.086260546102,29,1959
"47",47,355.229850663554,15,1959
"48",48,294.070572185776,29,1959
"49",49,234.813396730774,19,1959
"50",50,381.782622574831,28,1959
"51",51,309.777116048134,24,1959
"52",52,252.039177818471,26,1959
"53",53,301.809428582599,19,1959
"54",54,265.972211008314,28,1959
"55",55,262.666865199045,23,1959
"56",56,265.832565169959,21,1959
"57",57,586.754516243285,27,1959
"58",58,172.096563046723,21,1959
"59",59,394.66934930225,25,1959
"60",60,140.283358527855,16,1959
"61",61,463.571606522084,26,1959
"62",62,121.67974739648,12,1959
"63",63,332.877717271593,23,1959
"64",64,172.733569014638,16,1959
"65",65,223.908491512362,17,1959
"66",66,271.051620961724,19,1959
"67",67,169.075817633655,12,1959
"68",68,275.603781118835,21,1959
"69",69,270.260330003271,11,1959
"70",70,213.777191463472,17,1959
"71",71,187.028913182572,14,1959
"72",72,198.228800836118,14,1959
"73",73,367.072807137865,19,1959
"74",74,75.6175102485034,10,1959
"75",75,344.624172544809,18,1959
"76",76,134.136061205543,7,1959
"77",77,169.721373061383,17,1959
"78",78,150.036017866925,10,1959
"79",79,236.792078004694,13,1959
"80",80,101.126168270662,10,1959
"81",81,200.643461714061,15,1959
"82",82,193.75119634413,12,1959
"83",83,404.438154936652,10,1959
"84",84,280.407977079216,13,1959
"85",85,340.879976574528,8,1959
"86",86,276.121149662518,10,1959
"87",87,114.965065535017,6,1959
"88",88,360.894815624072,7,1959
"89",89,111.027701635046,5,1959
"90",90,198.143779749565,6,1959
"91",91,381.158497892735,4,1959
"92",92,168.008512661205,6,1959
"93",93,305.209039769108,3,1959
"94",94,379.452981104322,4,1959
"95",95,238.780014961957,4,1959
"96",96,801.148923716746,2,1959
"97",97,326.816923574686,3,1959
"98",98,492.503229505272,2,1959
"99",99,513.444694685755,2,1959
