FF,Bracken,Species
Grass,No,Agrostis.spp.              
Herb,No,Anemone.nemorosa           
Grass,No,Anthoxanthum.odoratum      
Fern,No,Athyrium.filix.femina     
Fern,No,Blechnum.spicant           
Grass,No,Brachypodium.sylvaticum    
Herb,No,Cardamine.flexuosa         
Grass,No,Carex.demissa             
Grass,No,Carex.pilulifera           
Grass,No,Carex.remota               
Grass,No,Carex.sylvatica            
Herb,No,Cerastium.vulgatum        
Herb,No,Circaea.lutetiana          
Herb,No,Cirsium.vulgare            
Grass,No,Dactylis.glomerata         
Grass,No,Deschampsia.cespitosa     
Grass,No,Deschampsia.flexuosa       
Herb,No,Digitalis.purpurea         
Fern,No,Dryopteris.austriaca       
Fern,No,Dryopteris.filix.mas      
Fern,No,Dryopteris.spinulosa       
Herb,No,Endymion.nonscriptus       
Herb,No,Epilibium.montanum         
Herb,No,Epilobium.parviflorum     
Herb,No,Euphorbia.amygdaliodes     
Grass,No,Festuca.ovina              
Woody,No,Frangula.alnus             
Woody,No,Fraxinus.excelsior        
Herb,No,Galium.palustre            
Herb,No,Galium.saxatile            
Herb,No,Geum.urbanum               
Grass,No,Glyceria.sp.              
Woody,No,Hedera.helix               
Grass,No,Holcus.mollis              
Woody,No,Hypericum.androsaemum      
Herb,No,Juncus.buffonius          
Herb,No,Juncus.effusus             
Woody,No,Lonicera.periclymenum      
Herb,No,Lotus.corniculatus         
Grass,No,Luzula.campestris         
Grass,No,Luzula.multiflora          
Grass,No,Luzula.pilosa              
Herb,No,Lysimachia.nemorum         
Woody,No,Malus.sylvestris          
Grass,No,Molinia.caerulea           
Herb,No,Oxalis.acetosella          
Grass,No,Poa.annua                  
Grass,No,Poa.trivialis             
Fern,No,Polypodium.vulgare         
Herb,No,Potentilla.erecta          
Fern,Bracken,Pteridium.aquilinum        
Herb,No,Ranunculus.flammula       
Herb,No,Ranunculus.repens          
Herb,No,Rubus.fruticosus           
Woody,No,Ruscus.aculeatus           
Woody,No,Salix.cinerea             
Herb,No,Scutellaria.minor          
Herb,No,Senecio.sylvatica          
Woody,No,Sorbus.aucuparia           
Herb,No,Stellaria.alsine          
Herb,No,Veronica.chamaedrys        
Herb,No,Veronica.officinalis       
Herb,No,Viola.riviniana            
Herb,No,Lotus.pedunculatus        
Herb,No,Melampyrum.pratense        
Herb,No,Montia.fontanum            
Herb,No,Polypodium.interjectum     
Herb,No,Ranunculus.sarduous       
Herb,No,Taraxacum.officinalis.agg. 
Woody,No,Vaccinium.myrtillus
