"","Estimate","Std..Error","t.value","p.z","R2"
"(Intercept)",18.469666607275,1.10712648966229,16.682526142888,0,0.121874529617927
"as.factor(Group)2",-1.51897133096113,1.09338181728962,-1.38924144058523,0.164759344179961,0.121874529617927
"as.factor(Group)3",-2.47204773170846,1.8435092381976,-1.34094675550711,0.179937740350283,0.121874529617927
"as.factor(Group)4",-1.97500507454936,1.90898785709742,-1.03458231397675,0.300864017058188,0.121874529617927
"as.factor(Group)5",-1.17175520663609,3.07582219748839,-0.380956743076016,0.70323534653652,0.121874529617927
"as.factor(Year)1988",-2.25510985711312,0.810638295186878,-2.78189405867292,0.00540426782533565,0.121874529617927
"as.factor(Year)1996",-4.30975917634326,0.836796154730727,-5.15030948932849,2.600569701805e-07,0.121874529617927
"as.factor(Year)1999",-0.343592417766121,3.56722136388399,-0.0963193429050386,0.923266949093883,0.121874529617927
"as.factor(Year)2014",-6.44859850474507,0.816015619993012,-7.90254297436156,2.66453525910038e-15,0.121874529617927
"as.factor(Group)2:as.factor(Year)1988",0.892238225861939,1.41101710872779,0.632336929398684,0.527166737254174,0.121874529617927
"as.factor(Group)3:as.factor(Year)1988",0.235665168845072,2.00167481751044,0.117733992946056,0.906278431606703,0.121874529617927
"as.factor(Group)4:as.factor(Year)1988",-1.3897797374242,2.31911052717517,-0.599272747520596,0.548991018054824,0.121874529617927
"as.factor(Group)5:as.factor(Year)1988",-3.24489014288689,2.65870508910175,-1.22047765139051,0.222283856544465,0.121874529617927
"as.factor(Group)2:as.factor(Year)1996",0.885140706784013,1.5325941403668,0.577544102166651,0.563571955211337,0.121874529617927
"as.factor(Group)3:as.factor(Year)1996",0.137978930217749,2.00105023410639,0.0689532565779721,0.945026826738447,0.121874529617927
"as.factor(Group)4:as.factor(Year)1996",-1.31302287604687,2.32743805519008,-0.564149440247779,0.572652433379881,0.121874529617927
"as.factor(Group)5:as.factor(Year)1996",-3.22790814142231,3.02988372189762,-1.06535710202128,0.286714361529975,0.121874529617927
"as.factor(Group)2:as.factor(Year)1999",-7.91009257941021,5.04641541983109,-1.56746758269754,0.117005437771847,0.121874529617927
"as.factor(Group)3:as.factor(Year)1999",-2.7372014987306,4.21801957146232,-0.648930487959225,0.516383307322633,0.121874529617927
"as.factor(Group)4:as.factor(Year)1999",-4.7438782273213,4.34994374121344,-1.09056082320687,0.275466176087564,0.121874529617927
"as.factor(Group)5:as.factor(Year)1999",-6.67568839474013,4.962939798506,-1.34510767121328,0.178590466270496,0.121874529617927
"as.factor(Group)2:as.factor(Year)2014",2.10981054476646,1.65897797444723,1.27175319821196,0.203460822535768,0.121874529617927
"as.factor(Group)3:as.factor(Year)2014",1.23492508789237,1.95161267392072,0.632771606986671,0.526882800711823,0.121874529617927
"as.factor(Group)4:as.factor(Year)2014",-0.0378762777852769,2.13629911351554,-0.0177298569969197,0.985854361949233,0.121874529617927
"as.factor(Group)5:as.factor(Year)2014",-3.58485616652584,3.01000041481893,-1.19098195099136,0.233660670516738,0.121874529617927
