Trans,Year,Time1,Group,freq,,,,,,,,,
1-1,1984,1,1,27,,,,,,,,,
1-2,1984,1,2,11,,,,,1,2,3,4,5
1-3,1984,1,3,3,,,,1,27,,,,
1-4,1984,1,4,3,,,,2,11,,,,
1-5,1984,1,5,2,,,,3,3,,,,
1-1,1988,1,1,17,,,,4,3,,,,
1-2,1988,1,2,3,,,,5,2,,,,
1-3,1988,1,3,6,,,,,,,,,
1-4,1988,1,4,1,,,,,,,,,
2-1,1988,2,1,1,,,,,1,2,3,4,5
2-2,1988,2,2,7,,,,1,17,1,,,
2-3,1988,2,3,3,,,,2,3,7,1,,
3-2,1988,3,2,1,,,,3,6,3,2,1,
3-3,1988,3,3,2,,,,4,1,,,2,
4-3,1988,4,3,1,,,,5,,,,,2
4-4,1988,4,4,2,,,,,,,,,
5-5,1988,5,5,2,,,,,,,,,
1-1,1999,1,1,16,,,,,,,,,
1-2,1999,1,2,3,,,,,1,2,3,4,5
1-3,1999,1,3,6,,,,1,16,2,,,
1-4,1999,1,4,5,,,,2,3,6,,,
1-5,1999,1,5,3,,,,3,6,2,11,,
2-1,1999,2,1,2,,,,4,5,0,1,2,
2-2,1999,2,2,6,,,,5,3,1,,1,1
2-3,1999,2,3,2,,,,,,,,,
2-5,1999,2,5,1,,,,,1,2,3,4,5
3-3,1999,3,3,11,,,,1,16,3,1,,
3-4,1999,3,4,1,,,,2,1,2,4,,
4-4,1999,4,4,2,,,,3,,2,12,4,
4-5,1999,4,5,1,,,,4,1,2,2,3,2
5-5,1999,5,5,1,,,,5,,,,1,4
1-1,2014,1,1,16,,,,,,,,,
1-2,2014,1,2,1,,,,,,,,,
1-4,2014,1,4,1,,,,,,,,,
2-1,2014,2,1,3,,,,,,,,,
2-2,2014,2,2,2,,,,,,,,,
2-3,2014,2,3,2,,,,,,,,,
2-4,2014,2,4,2,,,,,,,,,
3-1,2014,3,1,1,,,,,,,,,
3-2,2014,3,2,4,,,,,,,,,
3-3,2014,3,3,12,,,,,,,,,
3-4,2014,3,4,2,,,,,,,,,
4-3,2014,4,3,4,,,,,,,,,
4-4,2014,4,4,3,,,,,,,,,
4-5,2014,4,5,1,,,,,,,,,
5-4,2014,5,4,2,,,,,,,,,
5-5,2014,5,5,4,,,,,,,,,
