"Year","Group","BA","BA_perc","SD","Tanner","Spr","Light","Nit","no_of_plots","No_open"
1984,"0-216% increase","47.51 (3.12)","11.67 (1.58)","19.15 (1.75)","0.85 (0.02)","2.89 (0.16)","2.76 (0.21)","1.57 (0.05)",27,0
1984,"100-75%","6.57 (0.54)","-84.83 (0.3)","11.5 (10.5)","0.36 (0.13)","1.5 (0.5)","1.73 (0.73)","2 (0)",2,0
1984,"25-0%","50.57 (3.85)","-7.84 (2.04)","18.91 (3.17)","0.85 (0.02)","3 (0.13)","2.58 (0.26)","1.62 (0.06)",11,0
1984,"50-25%","25.01 (3.43)","-36.98 (5.03)","12 (5.03)","0.66 (0.05)","2.33 (0.33)","1.74 (0.64)","1.83 (0.17)",3,0
1984,"75-50%","23.04 (4.09)","-55.23 (3.87)","11.67 (3.76)","0.61 (0.03)","2.33 (0.33)","3.05 (1.11)","1.51 (0.28)",3,0
1988,"0-216% increase","45.38 (3.56)","11 (2.41)","17.89 (2.22)","0.82 (0.03)","3.06 (0.19)","3.01 (0.22)","1.51 (0.05)",18,0
1988,"100-75%","4.5 (2.18)","-89.88 (4.39)","6 (5)","0.25 (0.02)","1.5 (0.5)","1.91 (0.91)","2 (0)",2,0
1988,"25-0%","44.07 (3.77)","-13.02 (2.33)","16.18 (2.95)","0.79 (0.02)","2.73 (0.14)","2.21 (0.24)","1.71 (0.06)",11,0
1988,"50-25%","31.08 (2.92)","-37.6 (1.76)","12.83 (2.28)","0.69 (0.03)","2.33 (0.26)","2.63 (0.46)","1.6 (0.12)",12,0
1988,"75-50%","16.66 (0.92)","-61.49 (1.25)","9.67 (0.88)","0.53 (0.03)","2.33 (0.33)","1.98 (0.87)","1.77 (0.23)",3,0
1996,"0-216% increase","43.76 (3.3)","20.98 (8.62)","16.22 (2.01)","0.78 (0.02)","3 (0.16)","2.75 (0.2)","1.58 (0.05)",18,1
1996,"100-75%","6.16 (2.13)","-88.19 (2.51)","10.17 (1.74)","0.31 (0.03)","2.5 (0.43)","2.67 (0.46)","1.77 (0.14)",6,3
1996,"25-0%","45.2 (5.55)","-13.76 (2.42)","14.22 (3.53)","0.69 (0.05)","2.89 (0.11)","3.21 (0.36)","1.46 (0.09)",9,1
1996,"50-25%","31.62 (2.39)","-37.84 (1.64)","11.63 (1.55)","0.62 (0.02)","2.26 (0.18)","2.69 (0.37)","1.6 (0.09)",19,6
1996,"75-50%","19.13 (2.14)","-58.49 (2.24)","8.38 (2.06)","0.48 (0.05)","2.5 (0.33)","3.17 (0.64)","1.48 (0.16)",8,4
2014,"0-216% increase","47.4 (3.22)","33.03 (10.21)","14.05 (1.62)","0.7 (0.02)","3 (0.15)","2.74 (0.21)","1.58 (0.05)",20,2
2014,"100-75%","4.83 (1.68)","-88.2 (3.44)","5.8 (0.86)","0.23 (0.04)","1.6 (0.24)","2.27 (0.4)","2.05 (0.05)",5,3
2014,"25-0%","45.95 (5.1)","-14.81 (4.11)","16.71 (3.13)","0.73 (0.04)","2.86 (0.26)","2.84 (0.46)","1.56 (0.11)",7,2
2014,"50-25%","29.33 (1.87)","-35.97 (1.51)","8.5 (0.99)","0.58 (0.02)","2.33 (0.27)","2.4 (0.4)","1.67 (0.1)",18,5
2014,"75-50%","23.07 (2.68)","-62.05 (2.62)","9.2 (2.22)","0.46 (0.04)","2.7 (0.3)","3.42 (0.44)","1.42 (0.11)",10,3
